"hazard_score","baseline_hazard","hazard_group","survival_prob_3m","survival_prob_6m","survival_prob_12m"
-5.72986521003972,63.3289381780883,"Low",1.18287199926395e-39,3.78941756703497e-68,0
-3.74273723779172,0.139344337937914,"Medium-Low",0.81655111202085,0.749645024752185,0.577169319383542
5.1364563977228,0.028233597074709,"High",0.946869529340812,0.921956786833995,0.83814081925466
-2.73070456752462,1.65788443664713,"Medium-Low",0.0975571927334298,0.0279012243460347,0.000599914433914135
2.94861006494204,0.176569150547541,"High",0.773122907535935,0.713056526377006,0.503859102751135
-12.7936616073865,749.973062312992,"Low",0,0,0
-1.42367304581121,1.04883651231973,"Medium-Low",0.190541656953786,0.0975571927334298,0.00403439189023304
1.23897957509291,0.054593967894955,"Medium-High",0.921956786833995,0.886682144026484,0.773122907535935
-9.98670924475355,285.388551571451,"Low",0,0,0
-7.37212779540787,46.8298538717253,"Low",4.83845023949562e-33,1.12918850937157e-43,1.66773147213753e-183
2.26829820952782,0.374719132337861,"Medium-High",0.577169319383542,0.465468390949894,0.190541656953786
-3.18045980480191,0.374719132337861,"Medium-Low",0.577169319383542,0.465468390949894,0.190541656953786
-3.92361034042579,21.8591471343772,"Medium-Low",1.23545073586866e-15,9.95841229575527e-25,4.31980334255411e-53
-5.64387061309237,749.973062312992,"Low",0,0,0
-5.59169273802418,26.290199091733,"Low",5.112798425521e-17,3.13755685605326e-28,3.78941756703497e-68
2.15087383977169,0.338194582079161,"Medium-High",0.619338767197213,0.503859102751135,0.237369961441919
-6.40883563654547,63.3289381780883,"Low",1.18287199926395e-39,3.78941756703497e-68,0
-1.71070297542341,0.625429805269678,"Medium-Low",0.437957678660082,0.299254748314812,0.0632575350003425
-5.081322488537,26.290199091733,"Medium-Low",5.112798425521e-17,3.13755685605326e-28,3.78941756703497e-68
-1.79093979764867,0.202665769607579,"Medium-Low",0.749645024752185,0.68748234323543,0.465468390949894
-3.62658495374859,0.374719132337861,"Medium-Low",0.577169319383542,0.465468390949894,0.190541656953786
0.31954151308997,0.107392803389392,"Medium-High",0.853741087541905,0.794760710509131,0.640294846832492
-4.1050945465898,2.76054102802978,"Medium-Low",0.0158463246195413,0.00157534880397461,2.13734903069371e-06
-6.40972470441824,55.2662096740181,"Low",4.60956975900928e-37,4.31980334255411e-53,4.81833789446795e-225
-6.37574370575144,83.6675139158902,"Low",4.31980334255411e-53,2.58781479258254e-102,0
1.16691374858828,2.08270349867589,"Medium-High",0.040722645019809,0.00769504330597021,4.27212625992406e-05
3.10560320113706,0.0195384507935266,"High",0.954432791866052,0.931417888276901,0.853741087541905
4.37091229906252,0.158127307341196,"High",0.794760710509131,0.73306701863988,0.535031419769385
0.778852313447863,0.0195384507935266,"Medium-High",0.954432791866052,0.931417888276901,0.853741087541905
1.74451842962943,0.479102874584253,"Medium-High",0.503859102751135,0.395785213099186,0.124592919675706
-6.90104465601488,63.3289381780883,"Low",1.18287199926395e-39,3.78941756703497e-68,0
2.42412279843065,0.0195384507935266,"High",0.954432791866052,0.931417888276901,0.853741087541905
4.64426228968406,0.0370462755363236,"High",0.940694394963414,0.911053244675956,0.81655111202085
-5.55278652178763,89.6328732477406,"Low",3.78941756703497e-68,1.14110827340686e-124,0
1.35229367578882,0.120268710357883,"Medium-High",0.83814081925466,0.773122907535935,0.619338767197213
1.77718846602366,0.0195384507935266,"Medium-High",0.954432791866052,0.931417888276901,0.853741087541905
-4.33092910021904,0.0611369583897791,"Medium-Low",0.911053244675956,0.869928427518363,0.749645024752185
1.98160081807987,0.158127307341196,"Medium-High",0.794760710509131,0.73306701863988,0.535031419769385
-5.64191243953075,16.5612237900443,"Low",3.8221841421945e-12,5.112798425521e-17,1.18287199926395e-39
-3.25266726260001,0.76471108800795,"Medium-Low",0.350345134318987,0.190541656953786,0.0279012243460347
2.43532977716964,0.120268710357883,"High",0.83814081925466,0.773122907535935,0.619338767197213
-1.61170220770808,2.76054102802978,"Medium-Low",0.0158463246195413,0.00157534880397461,2.13734903069371e-06
1.32379255668409,0.0931539370240043,"Medium-High",0.869928427518363,0.81655111202085,0.68748234323543
2.37919953953529,0.685458608027861,"Medium-High",0.395785213099186,0.237369961441919,0.040722645019809
-8.87706186673071,155.243573992554,"Low",1.14110827340686e-124,0,0
5.1220018115597,0.0195384507935266,"High",0.954432791866052,0.931417888276901,0.853741087541905
-1.43068078286171,7.41872352306103,"Medium-Low",1.69035559643513e-05,6.42024933328522e-08,5.112798425521e-17
0.770328570023091,0.0812569254675331,"Medium-High",0.886682144026484,0.83814081925466,0.713056526377006
5.08618701862535,0.028233597074709,"High",0.946869529340812,0.921956786833995,0.83814081925466
1.06347361099518,0.107392803389392,"Medium-High",0.853741087541905,0.794760710509131,0.640294846832492
1.43567835256687,0.176569150547541,"Medium-High",0.773122907535935,0.713056526377006,0.503859102751135
-6.08700566626567,98.8896597573004,"Low",6.29473876989175e-82,1.66773147213753e-183,0
-8.19401000386766,749.973062312992,"Low",0,0,0
-0.550221269572816,18.1304145779186,"Medium-High",1.3406606987531e-13,4.59253923409035e-21,1.12918850937157e-43
-4.05013739990923,1.81418687955962,"Medium-Low",0.0632575350003425,0.0158463246195413,0.00019547946909541
3.90052684543785,0.0370462755363236,"High",0.940694394963414,0.911053244675956,0.81655111202085
1.35772828693922,0.0466380501695922,"Medium-High",0.931417888276901,0.89817279837021,0.794760710509131
-0.478584369934429,4.14481769075082,"Medium-High",0.00157534880397461,0.00019547946909541,1.33678324697278e-08
